word,frequency,replacement,deleted,
tests,3,test, ,
third,3,,y,
thousandths,3,,,
tiling,3,,,
trace,3,,,
transferred,3,,,
transition,3,,,
translate,3,,,
,3,,,
,3,,,
uncertain,3,,,
understood,3,,y,
unlike,3,,,
upper,3,,,
vary,3,,y,
vectors,3,,,
vertical,3,,,
video,3,,,
views,3,,,
vowels,3,,,
warranted,3,,,
will,3,,y,
zeros,3,zero, ,
,2,,,
,2,,,
absence,2,,,
absorbed,2,,,
active,2,,,
acute,2,,,
adages,2,,,
advantage,2,,,
adventures,2,,,
adverbial,2,,,
agreement,2,,,
allow,2,,y,
allows,2,,y,
allusions,2,,,
along,2,,y,
always,2,,y,
american,2,,,
analogies,2,,,
analogous,2,,,
analogy,2,,,
animal,2,,,
antonyms,2,,,
apart,2,,y,
appear,2,, ,
applying,2,,y,
approximate,2,,,
approximations,2,,y,
arise,2,,y,
around,2,,y,
arrangement,2,,,
array,2,,y,
arrays,2,,,
assigns,2,,,
association,2,,,
associative,2,,,
assumption,2,,,
attention,2,,,
attribute,2,,,
audibly,2,,,
availability,2,,,
avenues,2,,,
back,2,,,
beauty,2,,,
belong,2,,,
biases,2,,,
blend,2,,,
bonds,2,,,
books,2,book, ,
box,2,,y,
brain,2,,,
breaking,2,,y,
bundle,2,,,
cause,2,,,
cell,2,,,
challenges,2,,,
challenging,2,,y,
changed,2,,,
chromosomes,2,,,
circular,2,,,
circumscribed,2,,,
classification,2,,,
climates,2,,,
clocks,2,,,
coefficient,2,,,
collecting,2,,,
columns,2,,,
combinations,2,,,
commutative,2,,,
comparative,2,,,
comparison,2,, ,
comparison,2,,,
complementary,2,,,
complicated,2,,,
composite,2,,,
computer,2,,,
concerning,2,,,
concisely,2,,,
cones,2,,,
consistent,2,,,
contested,2,,y,
continue,2,,y,
cooling,2,, ,
coordinating,2,,,
correcting,2,,,
correlation,2,,,
corroborating,2,,,
cosines,2,,,
cost,2,,,
theta,2,,,
counted,2,, ,
cover,2,,y,
criterion,2,,,
cube,2,,,
cultural,2,,,
cumulative,2,,,
cycle,2,,,
cylinders,2,,,
dates,2,,,
decision,2,,,
decomposing,2,,,
deepen,2,,y,
dependent,2,,,
depends,2,,,
desired,2,,,
developed,2,,,
develops,2,,,
devices,2,,,
differentiate,2,,,
dilations,2,,,
direct,2,,,
directly,2,,y,
discipline,2,,,
discourse,2,,,
discrepancies,2,,,
diversity,2,,,
divided,2,,,
dividends,2,,,
divisor,2,,,
divisors,2,,,
DNA,2,,,
documents,2,,,
domains,2,,,
dot,2,,,
draws,2,,,
dynamically,2,,,
earlier,2,,,
eighteenth,2,,,
ellipsis,2,,,
emerges,2,,,
emphasized,2,,,
ending,2,,,
equality,2,,,
equivalently,2,,,
establishes,2,,,
,2,,,
etymology,2,,,
exchange,2,,,
exchanges,2,,,
exists,2,,,
experienced,2,,,
experimentally,2,,,
expertise,2,,,
explicit,2,,,
exploration,2,,,
expresses,2,,,
external,2,,,
extinction,2,,,
fables,2,,,
fair,2,,y,
fallacious,2,,,
,2,,,
fiction,2,,,
field,2,,,
fields,2,,y,
filmed,2,,,
fit,2,,y,
foci,2,,,
folktales,2,,,
forecast,2,,,
forming,2,,y,
fossil,2,,,
,2,,,
fractional,2,,,
fresh,2,,y,
front,2,,y,
fusion,2,,,
galaxies,2,,,
gathered,2,,y,
generalizations,2,,,
generated,2,,,
geometrically,2,,,
,2,,,
gives,2,,y,
glossaries,2,,,
gravity,2,,,
grouped,2,,,
grow,2,,y,
half,2,,y,
hand,2,,y,
hazards,2,,,
heritable,2,,,
high frequency,2,,,
histograms,2,,,
hundredths,2,,,
identical,2,,,
identities,2,,,
identity,2,,,
idioms,2,,,
illustrator,2,,,
images,2,,,
imperative,2,,,
improved,2,,,
improvised,2,,y,
includes,2,,,
indicating,2,,,
infer,2,,,
inflectional,2,,,
influence,2,,y,
influenced,2,,,
initiate,2,,,
inputs,2,,,
intended,2,,,
intercept,2,,,
internal,2,,,
interpretations,2,,,
interpreted,2,,y,
interquartile,2,,,
interrogative,2,,,
intersect,2,,,
irrelevant,2,,,
isolate,2,,,
joining,2,,,
judgment,2,,,
judgments,2,,y,
justify,2,,,
kindergarten,2,,,
kinds,2,,,
knowledgeably,2,,,
language,2,,,
large,2,,,
laws,2,,,
least,2,, ,
left,2,,,
letter,2,,,
likelihood,2,,,
literal,2,,,
local,2,,,
locates,2,,,
logarithm,2,,,
logarithms,2,, ,
magnitude,2,,,
maintaining,2,,,
matching,2,,,
means,2,,,
medial,2,,,
median,2,,,
members,2,,,
mental,2,,,
merit,2,,  ,
metaphor,2,,,
mineral,2,,,
minimizes,2,,,
minutes,2,,,
mitigate,2,,,
mixing,2,,,
modify,2,,,
moon,2,,,
moral,2,,,
morphology,2,,,
moves,2,,,
multisyllabic,2,,,
must,2,,y,
mutations,2,,,
narrators,2,,,
nets,2,,y,
night,2,, ,
nonliteral,2,,,
noun,2,,,
numeral,2,,,
numerator,2,,,
numerically,2,,,
observed,2,,y,
observing,2,,,
occur,2,,y,
occurred,2,,y,
oceanic,2,,,
odd,2,,,
ongoing,2,,,
onto,2,,y,
operate,2,,,
operation,2,, ,
,2,,,
opposites,2,,,
organism,2,,,
orientations,2,,,
outcome,2,,,
outermost,2,,,
outside,2,,,
oxygen,2,,,
packing,2,,,
pages,2,,,
pair,2,,,
paragraph,2,,,
paraphrasing,2,,,
parentheses,2,,,
particle,2,,,
passive,2,,,
percent,2,,,
percentages,2,,,
period,2,,,
pertinent,2,,,
phenomenon,2,,,
phonetically,2,,,
physical,2,,,
polar,2,,,
population,2,,,
portrayal,2,,,
posed,2,,y,
posing,2,,y,
possessives,2,,,
powers,2,,,
precedes,2,,,
predicts,2,,,
prefixes,2,,,
prepare,2,,,
prepositional,2,,,
presence,2,,,
prior,2,,,
produces,2,,y,
producing,2,,y,
progress,2,,y,
progression,2,, ,
promote,2,,y,
pronoun,2,,,
proper,2,,,
property,2,,y,
proportion,2,,,
proposed,2,,,
proteins,2,,,
protractor,2,,,
proverbs,2,,,
putting,2,,y,
pyramids,2,,,
quadrant,2,,,
quadrants,2,,,
quadrilaterals,2,,,
qualify,2,,,
quickly,2,,,
quotient,2,,,
radicals,2,,,
,2,,,
,2,,,
range,2,,,
readers,2,,,
rearrange,2,,,
reasoned,2,,y,
recording,2,,,
recursively,2,,,
reduces,2,,,
refines,2,,,
reflected,2,,,
reflecting,2,,y,
regional,2,,,
relation,2,,,
reliability,2,,,
reliance,2,,,
remainder,2,,,
remainders,2,,y,
reporting,2,,y,
reproduce,2,,,
requested,2,,,
require,2,,,
resolve,2,,,
resolved,2,,y,
respective,2,,,
respiration,2,,,
responds,2,,,
responses,2,,y,
rest,2,,,
resulting,2,,,
rocks,2,,,
rotation,2,,,
rows,2,,,
rulers,2,,,
satisfy,2,,,
scatter,2,,,
see,2,, ,
seminal,2,,,
senses,2,,,
sequencing,2,,,
sexual,2,,,
shakespeare,2,,,
shaped,2,,y,
showing,2,,y,
signals,2,,,
simile,2,,,
simulations,2,,,
simultaneous,2,,,
sine,2,,,
,2,,,
sizes,2,,y,
smooth,2,, ,
sometimes,2,,y,
soundness,2,,,
spaces,2,,,
span,2,,,
specify,2,,,
spheres,2,,,
stance,2,,,
standing,2,,y,
starting,2,,y,
statistical,2,,,
step,2,,y,
still,2,,y,
stimulate,2,,,
storage,2,,,
stored,2,,,
straight,2,,,
strength,2,,,
strongly,2,,,
structural,2,,,
subjunctive,2,,,
success,2,,,
successful,2,, ,
suggestions,2,,,
suitable,2,, ,
sums,2,sum, ,
surviving,2,,,
syllabication,2,,,
symbolically,2,,,
talk,2,, ,
tangent,2,,,
technological,2,,,
,2,,,
testing,2,,,
theory,2,,,
thirds,2,, ,
though,2,,y,
thoughtful,2,,,
thoughtfully,2,,y,
,2,,,
titles,2,, ,
tool,2,, ,
track,2,,y,
traditional,2,, ,
transform,2,,,
transforms,2,,,
transitional,2,,,
transmit,2,,,
treat,2,,y,
treatment,2,,,
treatments,2,,y,
tree,2,, ,
TRUE,2,,y,
,2,,,
unfamiliar,2,,,
unified,2,,,
unique,2,,,
unknowns,2,,,
upon,2,,,
usefulness,2,,y,
validity,2,,,
varied,2,,y,
viable,2,,,
vivid,2,,,
want,2,,y,
wants,2,,y,
wavelength,2,,,
weight,2,,,
,2,,,
wide,2,,,
wind,2,,,
writers,2,,y,
zero,2,,y,
ability,1,,,
able,1,,,
absent,1,,,
absorbs,1,,,
absorption,1,,,
abstract,1,,,
acceleration,1,,,
accentuate,1,,,
according,1,,,
accords,1,,,
accounted,1,,,
accounting,1,,,
achieve,1,,,
achieved,1,,y,
achieving,1,,y,
acids,1,,,
acknowledges,1,,,
acknowledging,1,,y,
actors,1,,,
actual,1,,,
adaptation,1,,,
addends,1,,,
addresses,1,,,
adjacent,1,,,
adjectival,1,,y,
advancing,1,,,
advantageous,1,,,
adverb,1,,,
adverse,1,,,
advocacy,1,,,
aerobic,1,,,
aesthetic,1,,,
aesthetics,1,,y,
affecting,1,,y,
affix,1,,,
ages,1,,y,
ago,1,,y,
algorithms,1,,,
allowing,1,,y,
allude,1,,,
alphabet,1,, ,
alter,1,,y,
alternative,1,,,
ambiguous,1,,,
amino,1,,,
amount,1,,y,
anaerobic,1,,,
anatomical,1,,,
anatomy,1,,,
ancient,1,,,
angle,1,,,
antecedents,1,,,
apostrophe,1,,,
appeal,1,,,
appearance,1,,,
appears,1,,y,
applicable,1,,,
application,1,,y,
applied,1,,y,
artistic,1,,,
asa,1,,y,
asexual,1,,,
asking,1,,y,
asserted,1,,y,
associate,1,,,
astronomical,1,,,
atmospheric,1,,,
atom,1,,,
atomic,1,,,
attractive,1,,,
auxiliaries,1,,,
auxiliary,1,,y,
available,1,,,
awareness,1,,,
balanced,1,,,
bang,1,, ,
beam,1,,,
beautiful,1,,y,
behaviors,1,,,
belonging,1,,y,
beneficial,1,,,
beside,1,,y,
bible,1,,,
bibliographic,1,,,
big,1,,y,
bill,1,,y,
bills,1,,y,
binomial,1,,,
birth,1,,,
blending,1,,,
blends,1,,y,
bodies,1,,y,
bond,1,,,
bottom,1,,,
boundary,1,,,
,1,,,
braces,1,,y,
brackets,1,,y,
break,1,,y,
brief,1,, ,
brightness,1,,,
bring,1,,y,
broken,1,,y,
bulk,1,,y,
calculated,1,,,
calculations,1,,,
carbon,1,,,
catastrophic,1,,,
categorize,1,,,
causation,1,,y,
,1,,,
centers,1,,,
centimeters,1,,,
century,1,,,
certain,1,,,
certainty,1,,,
chances,1,,,
chapters,1,,y,
characterization,1,,,
chiefly,1,,y,
chords,1,,,
chosen,1,,y,
circle,1,,,
circulation,1,,,
citing,1,,,
civil,1,,,
classified,1,,,
closings,1,,,
coding,1,,,
coefficient,1,,,
coevolution,1,,,
coincide,1,,,
collaborations,1,,,
collect,1,,,
collected,1,,y,
collective,1,,y,
collide,1,,,
colliding,1,,y,
collision,1,,y,
colon,1,,,
column,1,,,
communicating,1,,,
communicative,1,,y,
communities,1,,,
compared,1,,,
compass,1,,,
competition,1,,,
complements,1,,,
component,1,,,
composing,1,,,
Compound,complex,1,,
compounds,1,,,
computation,1,,,
computing,1,,,
concentration,1,,,
concludes,1,,,
,1,,,
condition,1,,,
cone,1,,,
conforms,1,,,
confused,1,,,
confusion,1,,,
conjugate,1,,,
conjugates,1,,y,
conjugation,1,,,
conjunction,1,,,
conjunctive,1,,y,
connecting,1,,y,
considered,1,,y,
consistency,1,,,
consistently,1,,y,
consisting,1,,y,
consonant,1,,,
constitution,1,,,
constitutional,1,,,
constraint,1,,,
constructed,1,,,
constructions,1,,y,
consumption,1,,,
contractions,1,,,
contradict,1,,,
contradictions,1,,y,
contrasting,1,,y,
contrasts,1,,,
controlled,1,,,
convection,1,,,
convention,1,,,
conversation,1,,,
conversational,1,,,
converse,1,,,
converts,1,,,
conveying,1,,,
convincing,1,,,
copies,1,,,
core,1,,,
correlative,1,,,
correspond,1,,,
,1,,,
coulombs,1,,,
counterclockwise,1,,,
covered,1,,,
created,1,,,
creative,1,,,
Cross sections,1,,,
crust,1,,,
crustal,1,,y,
cub,1,,,
currents,1,,,
curve,1,,,
cut,1,,y,
,1,,,
,1,,,
cyclic,1,,,
cylinder,1,,,
daily,1,,y,
dangling,1,,y,
dash,1,,,
dashes,1,,,
data generation,1,,,
date,1,,y,
daylight,1,,,
death,1,,,
decay,1,,,
declaration,1,,,
declarative,1,,,
decomposed,1,,,
decomposers,1,,,
decomposition,1,,,
decreases,1,,,
decreasing,1,,,
defend,1,,,
democratic,1,,,
denominator,1,,,
density,1,,,
departs,1,,,
depend,1,,,
depiction,1,,,
depth,1,,,
derivation,1,,,
derivational,1,,y,
derived,1,,y,
designing,1,,,
determinant,1,,,
determined,1,,y,
determiners,1,,y,
determines,1,,y,
deviations,1,,,
diameter,1,,,
differentiation,1,,,
differentiated,1,,y,
digitized,1,,,
digraphs,1,,,
,1,,,
dimes,1,,y,
director,1,,,
directrix,1,,,
disadvantages,1,,,
disagree,1,,,
disagreement,1,,y,
disassembled,1,,,
dispersing,1,,,
displaying,1,,y,
distant,1,,y,
distinguishes,1,,,
distorted,1,,,
divergent,1,,,
dividing,1,,,
document,1,,,
dollar,1,,y,
dramatist,1,,,
drawings1,1,drawing,y,
driven,1,,,
drives,1,,y,
dynamic,1,,,
early,1,,y,
eclipses,1,,,
economic,1,,,
edit,1,,y,
effectiveness,1,,y,
elaborate,1,,,
elaborated,1,,y,
electrical,1,,,
electron,1,,,
electrons,1,,y,
electrostatic,1,,,
elicit,1,,,
eliminating,1,,,
ellipses,1,,,
embryological,1,,,
emergence,1,,y,
emergent,1,,,
emotions,1,,y,
emphasis,1,,,
empirically,1,,,
enables,1,,y,
encode,1,,,
encountering,1,,,
endings,1,,,
endpoints,1,,,
entering,1,,,
entity,1,,,
environments,1,,,
episodes,1,,,
equally,1,,,
equals,1,,y,
equilateral,1,,,
equilibrium,1,,,
equivalence,1,,,
erosion,1,,,
error,1,,y,
errors,1,,y,
essential,1,,y,
evident,1,,,
evolutionary,1,,,
exaggerated,1,,,
examining,1,,y,
example,1,, ,
exceeds,1,,y,
exceptions,1,,y,
exclamatory,1,,,
excluding,1,,,
exerted,1,,,
exerting,1,,y,
exhibiting,1,,,
exhibits,1,,y,
exist,1,,,
existence,1,,,
expanding,1,,,
expansion,1,,,
experimental,1,,,
,1,,,
exponentially,1,,,
exposition,1,,,
extending,1,,y,
extension,1,,,
exterior,1,,,
extraneous,1,,,
extreme,1,,,
faces,1,,,
factorizations,1,,,
failure,1,, ,
faithful,1,,y,
feedbacks,1,,,
feet,1,, ,
fictional,1,,,
fingers,1,,,
finished,1,,,
finite,1,,,
firsthand,1,,,
fission,1,,,
,1,,,
flat,1,,,
flows,1,,,
fluid,1,,,
folded,1,,y,
folding,1,,y,
forecasting,1,,,
formation,1,,,
formations,1,,y,
forward,1,,,
fourth,1,,y,
fragments,1,,,
freehand,1,,,
frequent,1,,,
fuels,1,,,
full,1,, ,
functional,1,,,
fundamental,1,,,
generalize,1,,,
generally,1,,y,
genes,1,,,
genre,1,,,
,1,,,
geographic,1,,,
geologic,1,,,
gerunds,1,,,
giving,1,,y,
grams,1,,,
graphemes,1,,,
grasping,1,,,
gravitation,1,,,
greatest,1,,y,
greetings,1,,y,
groundwater,1,,,
guide,1,,y,
guidelines,1,,y,
habitat,1,,,
habitats,1,,,
,1,,,
,1,,,
,1,,,
harmful,1,,,
hear,1,,,
hearing,1,,y,
heat,1,,,
height,1,,,
helps,1,,y,
hexagon,1,,,
hierarchical,1,,y,
hierarchies,1,,y,
hierarchy,1,,,
highlight,1,,,
holidays,1,, ,
homeostasis,1,,,
hours,1,,y,
humor,1,,,
hundred,1,,y,
hydrogen,1,,,
hyperbolas,1,,,
hyphenation,1,,,
hypotheses,1,,,
ice,1,,,
illuminated,1,,,
illustrated,1,,,
imaginary,1,,,
immediate,1,,,
improve,1,,,
inaugural,1,,y,
inch,1,,,
inches,1,,,
incidents,1,,,
inconsistencies,1,,y,
inconsistent,1,,,
incorporate,1,,y,
increased,1,,,
indefinite,1,,,
indicative,1,,,
indirectly,1,,,
infinitely,1,,,
infinitives,1,,,
inflections,1,,,
influences,1,,,
informally,1,,,
informed,1,,,
inheritable,1,,y,
inherited,1,,,
input,1,,y,
,1,,,
insights,1,,y,
inspection,1,,,
instructions,1,,,
intensity,1,,,
intensive,1,,,
interaction,1,,,
intercepted,1,,,
interior,1,,,
interjections,1,,,
interpretation,1,,,
interprets,1,,y,
interrogatives,1,,,
intersections,1,,,
intersects,1,,y,
introduces,1,,y,
introductory,1,,,
investigate,1,,,
investigations,1,,y,
,1,,,
,1,,,
italics,1,,y,
items,1,,y,
iterative,1,,,
just,1,,y,
kilograms,1,,y,
labels,1,,y,
lacking,1,,y,
landscape,1,,,
last,1,,y,
later,1,,y,
layers,1,,,
laying,1,,y,
lead,1,,,
leads,1,,y,
learned,1,,,
legal,1,,,
limit,1,,,
limited,1,,y,
linked,1,,,
links,1,,,
literature,1,,,
liters,1,,y,
lived,1,,,
longer,1,,y,
,1,,,
loosely,1,,y,
lunar,1,,,
lying,1,,y,
magnets,1,,,
magnitude,1,,,
manageable,1,,,
management,1,,y,
managing,1,,y,
manual,1,,,
maps,1,,,
margin,1,,,
mark,1,,y,
marking,1,,y,
mates,1,,,
mathematically,1,,,
maximizes,1,,,
meaningful,1,,,
meant,1,,y,
measure,1,,,
mechanisms,1,,,
medium,1,,,
meiosis,1,,,
memories,1,,,
memory,1,, ,
messages,1,,y,
meteorites,1,,,
meter,1,,,
meters,1,,,
midline,1,,,
midpoint,1,,,
mimicking,1,,,
mimics,1,,,
,1,,,
mind,1,,,
minimizing,1,,,
,1,,,
minute,1,,,
misplaced,1,,,
missing,1,,,
mitosis,1,,,
modal,1,,,
modeled,1,,,
modification,1,,,
modifiers,1,,,
moduli,1,,,
modulus,1,,,
molecular,1,,,
momentum,1,,,
money,1,,,
monitoring,1,,,
motives,1,,,
move,1,,y,
movement,1,,y,
movements,1,,y,
multicellular,1,,,
,1,,,
multiplicative,1,,,
multiplied,1,,,
Multi,syllable,1,,
mutation,1,,,
mystery,1,,,
mythology,1,,,
namely,1,,y,
narrate,1,,y,
narrations,1,,,
nature,1,,,
neutral,1,,,
next,1,,y,
nickels,1,,y,
nineteenth,1,,y,
,1,,,
,1,,,
nonliving,1,,,
nonnegative,1,,,
nonviable,1,,,
normal,1,normal, ,
notions,1,,y,
nucleus,1,,,
numerators,1,,,
numerous,1,,y,
observable,1,,,
observational,1,,,
obtuse,1,,,
occurrence,1,,,
,1,,,
offering,1,,y,
often,1,,y,
omission,1,,y,
,1,,,
onsets,1,,y,
,1,,,
optimal,1,,,
options,1,option, ,
oral,1,,y,
orbiting,1,,,
ordering,1,order, ,
original,1,,,
outliers,1,,,
output,1,,,
outputs,1,output, ,
overlap,1,,,
packed,1,,,
pairing,1,,,
parabola,1,,,
parallelogram,1,,,
parallelograms,1,parallelogram, ,
participial,1,,,
participles,1,,,
partitioned,1,,,
partitioning,1,partition, ,
partitions,1,partition, ,
passed,1,,y,
path,1,, ,
pause,1,,y,
payoff,1,,y,
,1,,,
pennies,1,,y,
operations,1,,y,
,1,,,
perceive,1,,,
perfect,1,,y,
perform,1,,,
performs,1,,y,
perhaps,1,,y,
periodicity,1,,,
permutations,1,,,
person,1,,y,
perspective,1,,,
persuasiveness,1,,,
pertains,1,,y,
phases,1,,,
phenomena,1,,,
phonemic,1,,,
,1,,,
,1,,,
,1,,,
,1,,,
pictorial,1,,,
pictures,1,,,
placement,1,,,
placing,1,,y,
planetary,1,,,
plant,1,,,
plotted,1,,,
political,1,,,
pollinating,1,,,
polygon,1,,,
posit,1,,y,
possess,1,,y,
,1,,,
preamble,1,,,
preceded,1,,y,
precision,1,,y,
predicted,1,,,
preference,1,,y,
prefix,1,,,
presenting,1,,y,
presents,1,,y,
prevent,1,,,
pricing,1,,y,
primarily,1,,,
principle,1,,,
printed,1,,y,
prioritized,1,,y,
production,1,,,
progressive,1,,,
project,1,, ,
proliferation,1,,,
prompts,1,,,
antecedent,1,,,
proof,1,,,
protect,1,,,
prototype,1,,,
provides,1,,y,
provoke,1,,y,
public,1,,,
published,1,,,
pull,1,,y,
pulls,1,,,
pure,1,,y,
push,1,,y,
pushes,1,,y,
pyramid,1,,,
quadratically,1,,,
quadrilateral,1,,,
qualitatively,1,,,
quarter,1,,,
quest,1,,,
radical,1,,,
radii,1,,,
radioactive,1,,,
randomization,1,,y,
randomized,1,,,
rates,1,,,
reaches,1,,y,
reacting,1,,y,
reactions,1,,y,
really,1,,y,
rearranged,1,,y,
reason,1,,,
receive,1,,y,
receptors,1,,,
recommendation,1,,,
recounts,1,,,
rectilinear,1,,,
reducing,1,,y,
redundancy,1,,,
refers,1,,,
refining,1,,y,
reflective,1,,,
reflexive,1,,,
refocusing,1,,,
regarded,1,,,
regions,1,,,
relates,1,,y,
relatively,1,,,
released,1,,y,
releases,1,,y,
reliable,1,,y,
religious,1,,y,
remain,1,,y,
removed,1,remove, ,
rendered,1,,y,
repair,1,, ,
repeated,1,,y,
repeats,1,,y,
repetitions,1,,,
replication,1,,y,
reports,1,,y,
representative,1,,y,
representing,1,,y,
requesting,1,,y,
requires,1,,y,
requiring,1,,,
reservoirs,1,,y,
resizing,1,,y,
resolution,1,,,
resolving,1,,,
resource,1,,,
respectively,1,,,
restricting,1,,,
resultant,1,,,
reversed,1,,y,
rhetorical,1,,,
rhymes,1,,,
rhyming,1,,,
rhythm,1,,,
rights,1,,,
rimes,1,,y,
rise,1,,,
rough,1,,y,
ruler,1,, ,
Run,on,1,,y
,1,,,
safety,1,,,
samples,1,,,
sampling,1,,,
,1,,,
satisfies,1,,,
say,1,,,
saying,1,,,
scale,1,,,
scalar,1,,,
scalars,1,,,
scaling,1,,y,
scenes,1,,,
script,1,,,
seafloor,1,,,
season,1,,,
seasonal,1,,,
seasons,1,,y,
sec,1,,,
secondhand,1,,y,
sector,1,,y,
seeds,1,,,
seek,1,,,
seeks,1,,,
semicolon,1,,y,
sending,1,,,
separated,1,,y,
separating,1,,y,
,1,,y,
sequenced,1,,,
services,1,,,
seventeenth,1,,y,
severe,1,,,
shadows,1,,y,
shed,1,,,
,1,,y,
sight,1,,,
sign,1,, ,
signed,1,,y,
similarly,1,,y,
simpler,1,,y,
simply,1,,,
simultaneously,1,,y,
sky,1,,y,
slicing,1,,,
slow,1,, ,
slowly,1,slow, ,
societal,1,,y,
society,1,society,y,
song,1,,,
,1,,y,
spaced,1,,,
specifying,1,,,
spectra,1,,y,
speculation,1,,,
sphere,1,,,
,1,,,
square,1,,,
stable,1,,,
staged,1,,y,
stand,1,,y,
stanzas,1,,y,
stated,1,,y,
stay,1,,,
stays,1,,y,
sticks,1,,y,
stimuli,1,,,
,1,,,
straightedge,1,,,
strata,1,,y,
strategies,1,,,
strict,1,,y,
striking,1,,y,
string,1,,,
structured,1,,y,
,1,,y,
subcategories,1,,,
subjective,1,,,
Subject,verb agreement,1,,
subordinating,1,,,
subset,1,,,
subsets,1,,,
substitute,1,,y,
substituted,1,,,
subsystems,1,,y,
subtended,1,,y,
subtracting,1,,,
sugar,1,,y,
suggest,1,,y,
suited,1,,y,
summarizes,1,,y,
suns,1,,y,
superlative,1,,y,
supplementary,1,,,
surfaces,1,,,
surprise,1,,y,
survey,1,,,
surveying,1,,y,
surveys,1,,y,
survival,1,,,
suspense,1,,,
sustainability,1,,,
syllable,1,,,
synonyms,1,,,
synthetic,1,,,
systematic,1,,,
tag,1,,,
tapes,1,,y,
team,1,, ,
teams,1,team, ,
tells,1,,y,
temperatures,1,,,
tend,1,,y,
tension,1,,,
terminal,1,,,
terminates,1,,,
theoretical,1,,,
therefore,1,,y,
thermodynamics,1,,,
,1,,,
,1,,,
throughout,1,,y,
thus,1,,y,
title,1,,,
today,1,,y,
told,1,,y,
top,1,,y,
tracing,1,,,
tradeoffs,1,,,
transformed,1,,,
,1,,,
translation,1,,,
transmission,1,,,
transmitted,1,,,
transparencies,1,,,
transversal,1,,,
trapezoid,1,,,
traveling,1,,y,
traversed,1,,,
trends,1,,,
,1,,,
,1,,,
turns,1,,y,
twice,1,,y,
typical,1,,y,
unbalanced,1,,y,
unclear,1,,y,
undefined,1,,y,
underlining,1,,y,
undertake,1,,y,
unequal,1,,,
uneven,1,,,
unions,1,,,
united,1,,y,
,1,,,
,1,,,
unresolved,1,,y,
untaught,1,,y,
utilizing,1,,,
vague,1,,,
,1,,,
variabilities,1,,,
varieties,1,,,
varying,1,,,
vegetation,1,,,
velocity,1,,,
verbals,1,,,
verifying,1,,,
verse,1,,,
versions,1,,,
versus,1,,y,
vertex,1,,,
vertices,1,,,
vibrate,1,,,
vibrating,1,,y,
viewing,1,,y,
viewpoints,1,,,
warming,1,,y,
warmth,1,,y,
watch,1,,y,
weaknesses,1,,y,
weathering,1,,,
,1,,,
,1,,,
,1,,,
whereby,1,,y,
wherever,1,,y,
widely,1,,y,
wordiness,1,,,
,1,,,
X,axis,1,,
Y,axis,1,,
,1,,,
yardsticks,1,,,
yes,1,,y,
young,1,,y,