colors,,name
#348F50,#56B4D3,Emerald Water
#3CA55C,#B5AC49,Lemon Twist
#003973,#E5E5BE,Horizon
#E55D87,#5FC3E4,Rose Water
#403B4A,#E7E9BB,Frozen
#F09819,#EDDE5D,Mango Pulp
#FF512F,#DD2476,Bloody Mary
#AA076B,#61045F,Aubergine
#1A2980,#26D0CE,Aqua Marine
#FF512F,#F09819,Sunrise
#1D2B64,#F8CDDA,Purple Paradise
#4CB8C4,#3CD3AD,Sea Weed
#DD5E89,#F7BB97,Pinky
#EB3349,#F45C43,Cherry
#1D976C,#93F9B9,Mojito
#FF8008,#FFC837,Juicy Orange
#16222A,#3A6073,Mirage
#1F1C2C,#928DAB,Steel Gray
#614385,#516395,Kashmir
#4776E6,#8E54E9,Electric Violet
#085078,#85D8CE,Venice Blue
#134E5E,#71B280,Moss
#5C258D,#4389A2,Shroom Haze
#757F9A,#D7DDE8,Mystic
#232526,#414345,Midnight City
#1CD8D2,#93EDC7,Sea Blizz
#3D7EAA,#FFE47A,Opa
#283048,#859398,Titanium
#24C6DC,#514A9D,Mantle
#DC2424,#4A569D,Dracula
#ED4264,#FFEDBC,Peach
#7474BF,#348AC7,Stellar
#EC6F66,#F3A183,Bourbon
#5f2c82,#49a09d,Calm Darya
#C04848,#480048,Influenza
#e43a15,#e65245,Shrimpy
#414d0b,#727a17,Army
#FC354C,#0ABFBC,Miaka
#4b6cb7,#182848,Pinot Noir
#f857a6,#ff5858,Day Tripper
#a73737,#7a2828,Namn
#d53369,#cbad6d,Blurry Beach
#DE6262,#FFB88C,A Lost Memory
#666600,#999966,Petrichor
#c21500,#ffc500,Kyoto
#215f00,#e4e4d9,Misty Meadow
#50C9C3,#96DEDA,Aqualicious
#616161,#9bc5c3,Moor
#00d2ff,#3a7bd5,Reef
#870000,#190A05,The Strain
#B993D6,#8CA6DB,Dirty Fog
#606c88,#3f4c6b,Ash
#000000,#53346D,Shadow Night
#FBD3E9,#BB377D,Cherryblossoms
#ADD100,#7B920A,Parklife
#FF4E50,#F9D423,Dance To Forget
#F0C27B,#4B1248,Starfall
#000000,#e74c3c,Red Mist
#780206,#061161,Man of Steel
#9D50BB,#6E48AA,Amethyst
#556270,#FF6B6B,Cheer Up Emo Kid
#00c6ff,#0072ff,Facebook Messenger
#fe8c00,#f83600,SoundCloud
#52c234,#061700,Behongo
#485563,#29323c,ServQuick
#73C8A9,#373B44,Between The Clouds
#D38312,#A83279,Crazy Orange I
#1e130c,#9a8478,Hersheys
#948E99,#2E1437,Talking To Mice Elf
#360033,#0b8793,Purple Bliss
#FFA17F,#00223E,Predawn
#43cea2,#185a9d,Endless River
#ffb347,#ffcc33,Pastel Orange at the Sun
#6441A5,#2a0845,Twitch
#517fa4,#243949,Instagram
#ff0084,#33001b,Flickr
#00bf8f,#001510,Vine
#136a8a,#267871,Turquoise flow
#7b4397,#dc2430,Virgin America
#D1913C,#FFD194,Koko Caramel
#6A9113,#141517,Green to dark
#004FF9,#FFF94C,Ukraine
#525252,#3d72b4,Curiosity blue
#BA8B02,#181818,Dark Knight
#ee9ca7,#ffdde1,Piglet
#304352,#d7d2cc,Lizard
#2c3e50,#3498db,Between Night and Day
#fc00ff,#00dbde,Timber
#e53935,#e35d5b,Passion
#005C97,#363795,Clear Sky